15  5. Hafta                 Köln  |   Fortuna Düsseldorf  |  2 - 1
16  5. Hafta                Mainz  |    Borussia Dortmund  |  2 - 2
17  5. Hafta            Paderborn  |           Hoffenheim  |  1 - 1


    6. Hafta             Sıralama  |              Fixture ||  Sonuç
0   6. Hafta       Bayern München  |         Union Berlin  |  1 - 2
1   6. Hafta           RB Leipzig  |             Augsburg  |  0 - 3
2   6. Hafta             Freiburg  |           Hoffenheim  |  0 - 3
3   6. Hafta              Schalke  |            Paderborn  |  2 - 3
4   6. Hafta      Mönchengladbach  |           RB Leipzig  |  1 - 3
5   6. Hafta     Bayer Leverkusen  |             Mainz 05  |  0 - 1
6   6. Hafta            Wolfsburg  |    Borussia Dortmund  |  2 - 2
7   6. Hafta    Borussia Dortmund  |   Fortuna Düsseldorf  |  1 - 2
8   6. Hafta  Eintracht Frankfurt  |                 Köln  |  0 - 4
9   6. Hafta        Hertha Berlin  |  Eintracht Frankfurt  |  1 - 2
10  6. Hafta        Werder Bremen  |     Bayer Leverkusen  |  0 - 3
11  6. Hafta           Hoffenheim  |      Mönchengladbach  |  0 - 3
12  6. Hafta             Augsburg  |       Bayern München  |  2 - 3
13  6. Hafta   Fortuna Düsseldorf  |           Schalke 04  |  1 - 3
14  6. Hafta         Union Berlin  |            Wolfsburg  |  0 - 1
15  6. Hafta                Mainz  |        Werder Bremen  |  2 - 2
16  6. Hafta                 Köln  |             Freiburg  |  1 - 2
17  6. Hafta            Paderborn  |        Hertha Berlin  |  0 - 4


    7. Hafta             Sıralama  |              Fixture ||  Sonuç
0   7. Hafta      Mönchengladbach  |        Hertha Berlin  |  3 - 1
1   7. Hafta            Wolfsburg  |       Bayern München  |  1 - 2
2   7. Hafta       Bayern München  |     Bayer Leverkusen  |  1 - 1
3   7. Hafta           RB Leipzig  |             Freiburg  |  2 - 2
4   7. Hafta             Freiburg  |            Paderborn  |  1 - 2
5   7. Hafta              Schalke  |           Schalke 04  |  1 - 1
6   7. Hafta     Bayer Leverkusen  |      Mönchengladbach  |  5 - 1
7   7. Hafta    Borussia Dortmund  |            Wolfsburg  |  1 - 0
8   7. Hafta  Eintracht Frankfurt  |  Eintracht Frankfurt  |  2 - 2
9   7. Hafta        Hertha Berlin  |   Fortuna Düsseldorf  |  3 - 1
10  7. Hafta        Werder Bremen  |           Hoffenheim  |  1 - 2
11  7. Hafta           Hoffenheim  |           RB Leipzig  |  1 - 1
12  7. Hafta                Mainz  |    Borussia Dortmund  |  2 - 2
13  7. Hafta             Augsburg  |             Mainz 05  |  1 - 2
14  7. Hafta   Fortuna Düsseldorf  |                 Köln  |  1 - 1
15  7. Hafta         Union Berlin  |             Augsburg  |  5 - 1
16  7. Hafta                 Köln  |         Union Berlin  |  1 - 0
17  7. Hafta            Paderborn  |        Werder Bremen  |  2 - 2


    8. Hafta             Sıralama  |              Fixture ||  Sonuç
0   8. Hafta      Mönchengladbach  |  Eintracht Frankfurt  |  3 - 0
1   8. Hafta            Wolfsburg  |         Union Berlin  |  2 - 0
2   8. Hafta       Bayern München  |        Werder Bremen  |  1 - 1
3   8. Hafta    Borussia Dortmund  |             Augsburg  |  2 - 2
4   8. Hafta           RB Leipzig  |           RB Leipzig  |  1 - 1
5   8. Hafta             Freiburg  |   Fortuna Düsseldorf  |  1 - 0
6   8. Hafta              Schalke  |    Borussia Dortmund  |  1 - 0
7   8. Hafta  Eintracht Frankfurt  |                 Köln  |  3 - 0
8   8. Hafta     Bayer Leverkusen  |           Hoffenheim  |  2 - 0
9   8. Hafta        Hertha Berlin  |     Bayer Leverkusen  |  3 - 0
10  8. Hafta           Hoffenheim  |             Freiburg  |  2 - 0
11  8. Hafta        Werder Bremen  |        Hertha Berlin  |  1 - 1
12  8. Hafta   Fortuna Düsseldorf  |       Bayern München  |  2 - 2
13  8. Hafta         Union Berlin  |            Wolfsburg  |  1 - 1
14  8. Hafta                 Köln  |             Mainz 05  |  1 - 0
15  8. Hafta             Augsburg  |      Mönchengladbach  |  1 - 0
16  8. Hafta                Mainz  |            Paderborn  |  3 - 0
17  8. Hafta            Paderborn  |           Schalke 04  |  2 - 0


    9. Hafta             Sıralama  |              Fixture ||  Sonuç
0   9. Hafta      Mönchengladbach  |             Mainz 05  |  3 - 1
1   9. Hafta       Bayern München  |             Freiburg  |  2 - 1
2   9. Hafta             Freiburg  |            Paderborn  |  2 - 0
3   9. Hafta            Wolfsburg  |       Bayern München  |  2 - 1
4   9. Hafta    Borussia Dortmund  |        Hertha Berlin  |  2 - 3
5   9. Hafta           RB Leipzig  |           Schalke 04  |  0 - 0
6   9. Hafta              Schalke  |     Bayer Leverkusen  |  2 - 2
7   9. Hafta     Bayer Leverkusen  |            Wolfsburg  |  0 - 0
8   9. Hafta  Eintracht Frankfurt  |      Mönchengladbach  |  4 - 2
9   9. Hafta           Hoffenheim  |                 Köln  |  3 - 1
10  9. Hafta        Hertha Berlin  |           RB Leipzig  |  2 - 1
11  9. Hafta        Werder Bremen  |   Fortuna Düsseldorf  |  2 - 0
12  9. Hafta                Mainz  |         Union Berlin  |  2 - 1
13  9. Hafta   Fortuna Düsseldorf  |           Hoffenheim  |  2 - 3
14  9. Hafta         Union Berlin  |    Borussia Dortmund  |  0 - 0
15  9. Hafta                 Köln  |        Werder Bremen  |  2 - 2
16  9. Hafta             Augsburg  |             Augsburg  |  0 - 0
17  9. Hafta            Paderborn  |  Eintracht Frankfurt  |  4 - 2


    10. Hafta             Sıralama  |              Fixture ||  Sonuç
0   10. Hafta      Mönchengladbach  |           Hoffenheim  |  3 - 0
1   10. Hafta    Borussia Dortmund  |     Bayer Leverkusen  |  1 - 2
2   10. Hafta           RB Leipzig  |           RB Leipzig  |  8 - 0
3   10. Hafta       Bayern München  |  Eintracht Frankfurt  |  5 - 1
4   10. Hafta             Freiburg  |        Werder Bremen  |  2 - 2
5   10. Hafta              Schalke  |    Borussia Dortmund  |  3 - 0
6   10. Hafta  Eintracht Frankfurt  |         Union Berlin  |  1 - 0
7   10. Hafta            Wolfsburg  |   Fortuna Düsseldorf  |  2 - 0
8   10. Hafta           Hoffenheim  |             Augsburg  |  2 - 3
9   10. Hafta     Bayer Leverkusen  |            Paderborn  |  3 - 0
10  10. Hafta        Hertha Berlin  |      Mönchengladbach  |  1 - 2
11  10. Hafta        Werder Bremen  |             Mainz 05  |  8 - 0
12  10. Hafta   Fortuna Düsseldorf  |       Bayern München  |  5 - 1
13  10. Hafta         Union Berlin  |             Freiburg  |  2 - 2
14  10. Hafta                Mainz  |            Wolfsburg  |  3 - 0
15  10. Hafta             Augsburg  |        Hertha Berlin  |  1 - 0
16  10. Hafta                 Köln  |                 Köln  |  2 - 0
17  10. Hafta            Paderborn  |           Schalke 04  |  2 - 3


    11. Hafta             Sıralama  |              Fixture ||  Sonuç
0   11. Hafta      Mönchengladbach  |                 Köln  |  1 - 2
1   11. Hafta           RB Leipzig  |        Hertha Berlin  |  2 - 4
2   11. Hafta       Bayern München  |             Mainz 05  |  2 - 3
3   11. Hafta             Freiburg  |            Paderborn  |  0 - 1
4   11. Hafta           Hoffenheim  |           Schalke 04  |  3 - 3
5   11. Hafta    Borussia Dortmund  |       Bayern München  |  4 - 0
6   11. Hafta              Schalke  |      Mönchengladbach  |  3 - 1
7   11. Hafta     Bayer Leverkusen  |            Wolfsburg  |  0 - 2
8   11. Hafta  Eintracht Frankfurt  |             Freiburg  |  1 - 0
9   11. Hafta            Wolfsburg  |           Hoffenheim  |  1 - 2
10  11. Hafta         Union Berlin  |           RB Leipzig  |  2 - 4
11  11. Hafta        Hertha Berlin  |         Union Berlin  |  2 - 3
12  11. Hafta   Fortuna Düsseldorf  |             Augsburg  |  0 - 1
13  11. Hafta        Werder Bremen  |   Fortuna Düsseldorf  |  3 - 3
14  11. Hafta             Augsburg  |    Borussia Dortmund  |  4 - 0
15  11. Hafta                Mainz  |        Werder Bremen  |  3 - 1
16  11. Hafta                 Köln  |     Bayer Leverkusen  |  0 - 2
17  11. Hafta            Paderborn  |  Eintracht Frankfurt  |  1 - 0


    12. Hafta             Sıralama  |              Fixture ||  Sonuç
0   12. Hafta      Mönchengladbach  |    Borussia Dortmund  |  3 - 3
1   12. Hafta           RB Leipzig  |     Bayer Leverkusen  |  1 - 1
2   12. Hafta       Bayern München  |         Union Berlin  |  2 - 0
3   12. Hafta             Freiburg  |        Werder Bremen  |  1 - 2
