17  21. Hafta            Paderborn  |                 Köln  |  2 - 1


    22. Hafta             Sıralama  |              Fixture ||  Sonuç
0   22. Hafta       Bayern München  |    Borussia Dortmund  |  4 - 0
1   22. Hafta           RB Leipzig  |           Hoffenheim  |  2 - 3
2   22. Hafta      Mönchengladbach  |             Augsburg  |  1 - 1
3   22. Hafta    Borussia Dortmund  |         Union Berlin  |  2 - 3
4   22. Hafta     Bayer Leverkusen  |           RB Leipzig  |  3 - 0
5   22. Hafta              Schalke  |            Paderborn  |  1 - 2
6   22. Hafta             Freiburg  |   Fortuna Düsseldorf  |  1 - 4
7   22. Hafta           Hoffenheim  |                 Köln  |  1 - 4
8   22. Hafta            Wolfsburg  |             Mainz 05  |  0 - 0
9   22. Hafta  Eintracht Frankfurt  |  Eintracht Frankfurt  |  4 - 0
10  22. Hafta             Augsburg  |            Wolfsburg  |  2 - 3
11  22. Hafta         Union Berlin  |             Freiburg  |  1 - 1
12  22. Hafta        Hertha Berlin  |     Bayer Leverkusen  |  2 - 3
13  22. Hafta                 Köln  |        Werder Bremen  |  3 - 0
14  22. Hafta                Mainz  |        Hertha Berlin  |  1 - 2
15  22. Hafta   Fortuna Düsseldorf  |      Mönchengladbach  |  1 - 4
16  22. Hafta        Werder Bremen  |       Bayern München  |  1 - 4
17  22. Hafta            Paderborn  |           Schalke 04  |  0 - 0


    23. Hafta             Sıralama  |              Fixture ||  Sonuç
0   23. Hafta       Bayern München  |       Bayern München  |  3 - 2
1   23. Hafta           RB Leipzig  |             Freiburg  |  0 - 2
2   23. Hafta      Mönchengladbach  |      Mönchengladbach  |  1 - 1
3   23. Hafta    Borussia Dortmund  |        Hertha Berlin  |  0 - 5
4   23. Hafta     Bayer Leverkusen  |        Werder Bremen  |  0 - 2
5   23. Hafta              Schalke  |           Schalke 04  |  0 - 5
6   23. Hafta            Wolfsburg  |     Bayer Leverkusen  |  2 - 0
7   23. Hafta           Hoffenheim  |            Wolfsburg  |  4 - 0
8   23. Hafta             Freiburg  |  Eintracht Frankfurt  |  1 - 2
9   23. Hafta         Union Berlin  |            Paderborn  |  3 - 2
10  23. Hafta  Eintracht Frankfurt  |   Fortuna Düsseldorf  |  0 - 2
11  23. Hafta             Augsburg  |           Hoffenheim  |  1 - 1
12  23. Hafta                 Köln  |                 Köln  |  0 - 5
13  23. Hafta        Hertha Berlin  |    Borussia Dortmund  |  0 - 2
14  23. Hafta                Mainz  |           RB Leipzig  |  0 - 5
15  23. Hafta   Fortuna Düsseldorf  |             Augsburg  |  2 - 0
16  23. Hafta        Werder Bremen  |             Mainz 05  |  4 - 0
17  23. Hafta            Paderborn  |         Union Berlin  |  1 - 2


    24. Hafta             Sıralama  |              Fixture ||  Sonuç
0   24. Hafta       Bayern München  |   Fortuna Düsseldorf  |  3 - 3
1   24. Hafta           RB Leipzig  |           Hoffenheim  |  0 - 6
2   24. Hafta      Mönchengladbach  |    Borussia Dortmund  |  1 - 0
3   24. Hafta    Borussia Dortmund  |             Mainz 05  |  2 - 0
4   24. Hafta     Bayer Leverkusen  |             Augsburg  |  2 - 3
5   24. Hafta              Schalke  |                 Köln  |  3 - 0
6   24. Hafta            Wolfsburg  |         Union Berlin  |  2 - 2
7   24. Hafta           Hoffenheim  |           RB Leipzig  |  1 - 1
8   24. Hafta             Freiburg  |        Werder Bremen  |  0 - 3
9   24. Hafta  Eintracht Frankfurt  |        Hertha Berlin  |  3 - 3
10  24. Hafta         Union Berlin  |       Bayern München  |  0 - 6
11  24. Hafta                 Köln  |             Freiburg  |  1 - 0
12  24. Hafta             Augsburg  |            Paderborn  |  2 - 0
13  24. Hafta        Hertha Berlin  |      Mönchengladbach  |  2 - 3
14  24. Hafta                Mainz  |           Schalke 04  |  3 - 0
15  24. Hafta   Fortuna Düsseldorf  |            Wolfsburg  |  2 - 2
16  24. Hafta        Werder Bremen  |     Bayer Leverkusen  |  1 - 1
17  24. Hafta            Paderborn  |  Eintracht Frankfurt  |  0 - 3


    25. Hafta             Sıralama  |              Fixture ||  Sonuç
0   25. Hafta       Bayern München  |            Paderborn  |  1 - 2
1   25. Hafta    Borussia Dortmund  |             Freiburg  |  3 - 1
2   25. Hafta           RB Leipzig  |            Wolfsburg  |  0 - 0
3   25. Hafta      Mönchengladbach  |           Schalke 04  |  1 - 1
4   25. Hafta     Bayer Leverkusen  |     Bayer Leverkusen  |  4 - 0
5   25. Hafta              Schalke  |        Hertha Berlin  |  2 - 2
6   25. Hafta            Wolfsburg  |      Mönchengladbach  |  1 - 2
7   25. Hafta             Freiburg  |       Bayern München  |  2 - 0
8   25. Hafta           Hoffenheim  |             Mainz 05  |  1 - 1
9   25. Hafta                 Köln  |                 Köln  |  1 - 2
10  25. Hafta  Eintracht Frankfurt  |         Union Berlin  |  3 - 1
11  25. Hafta         Union Berlin  |           RB Leipzig  |  0 - 0
12  25. Hafta        Hertha Berlin  |           Hoffenheim  |  1 - 1
13  25. Hafta             Augsburg  |  Eintracht Frankfurt  |  4 - 0
14  25. Hafta                Mainz  |        Werder Bremen  |  2 - 2
15  25. Hafta   Fortuna Düsseldorf  |    Borussia Dortmund  |  1 - 2
16  25. Hafta        Werder Bremen  |             Augsburg  |  2 - 0
17  25. Hafta            Paderborn  |   Fortuna Düsseldorf  |  1 - 1


    26. Hafta             Sıralama  |              Fixture ||  Sonuç
0   26. Hafta       Bayern München  |             Augsburg  |  1 - 2
1   26. Hafta    Borussia Dortmund  |   Fortuna Düsseldorf  |  0 - 0
2   26. Hafta      Mönchengladbach  |           Hoffenheim  |  0 - 3
3   26. Hafta           RB Leipzig  |           RB Leipzig  |  1 - 1
4   26. Hafta     Bayer Leverkusen  |    Borussia Dortmund  |  4 - 0
5   26. Hafta            Wolfsburg  |  Eintracht Frankfurt  |  1 - 3
6   26. Hafta             Freiburg  |                 Köln  |  2 - 2
7   26. Hafta              Schalke  |         Union Berlin  |  0 - 2
8   26. Hafta           Hoffenheim  |        Werder Bremen  |  1 - 4
9   26. Hafta                 Köln  |            Wolfsburg  |  1 - 2
10  26. Hafta  Eintracht Frankfurt  |            Paderborn  |  0 - 0
11  26. Hafta        Hertha Berlin  |        Hertha Berlin  |  0 - 3
12  26. Hafta         Union Berlin  |             Freiburg  |  1 - 1
13  26. Hafta             Augsburg  |           Schalke 04  |  4 - 0
14  26. Hafta                Mainz  |      Mönchengladbach  |  1 - 3
15  26. Hafta   Fortuna Düsseldorf  |             Mainz 05  |  2 - 2
16  26. Hafta        Werder Bremen  |       Bayern München  |  0 - 2
17  26. Hafta            Paderborn  |     Bayer Leverkusen  |  1 - 4


    27. Hafta             Sıralama  |              Fixture ||  Sonuç
0   27. Hafta       Bayern München  |        Hertha Berlin  |  4 - 0
1   27. Hafta    Borussia Dortmund  |             Freiburg  |  0 - 1
2   27. Hafta           RB Leipzig  |            Paderborn  |  1 - 1
3   27. Hafta     Bayer Leverkusen  |            Wolfsburg  |  0 - 2
4   27. Hafta      Mönchengladbach  |      Mönchengladbach  |  1 - 3
5   27. Hafta            Wolfsburg  |       Bayern München  |  5 - 2
6   27. Hafta             Freiburg  |           Schalke 04  |  0 - 3
7   27. Hafta              Schalke  |             Mainz 05  |  0 - 5
8   27. Hafta           Hoffenheim  |                 Köln  |  2 - 2
9   27. Hafta                 Köln  |         Union Berlin  |  4 - 0
10  27. Hafta        Hertha Berlin  |        Werder Bremen  |  0 - 1
11  27. Hafta  Eintracht Frankfurt  |           Hoffenheim  |  1 - 1
12  27. Hafta             Augsburg  |    Borussia Dortmund  |  0 - 2
13  27. Hafta         Union Berlin  |     Bayer Leverkusen  |  1 - 3
14  27. Hafta                Mainz  |  Eintracht Frankfurt  |  5 - 2
15  27. Hafta   Fortuna Düsseldorf  |             Augsburg  |  0 - 3
16  27. Hafta        Werder Bremen  |           RB Leipzig  |  0 - 5
17  27. Hafta            Paderborn  |   Fortuna Düsseldorf  |  2 - 2


    28. Hafta             Sıralama  |              Fixture ||  Sonuç
0   28. Hafta       Bayern München  |    Borussia Dortmund  |  0 - 1
1   28. Hafta    Borussia Dortmund  |  Eintracht Frankfurt  |  3 - 3
2   28. Hafta           RB Leipzig  |        Werder Bremen  |  0 - 0
3   28. Hafta      Mönchengladbach  |     Bayer Leverkusen  |  1 - 4
4   28. Hafta     Bayer Leverkusen  |           RB Leipzig  |  2 - 2
5   28. Hafta            Wolfsburg  |             Augsburg  |  0 - 0
6   28. Hafta           Hoffenheim  |   Fortuna Düsseldorf  |  2 - 1
7   28. Hafta             Freiburg  |         Union Berlin  |  1 - 1
8   28. Hafta              Schalke  |           Hoffenheim  |  3 - 1
9   28. Hafta        Hertha Berlin  |       Bayern München  |  0 - 1
10  28. Hafta                 Köln  |             Freiburg  |  3 - 3
11  28. Hafta  Eintracht Frankfurt  |      Mönchengladbach  |  0 - 0
12  28. Hafta             Augsburg  |            Wolfsburg  |  1 - 4
13  28. Hafta         Union Berlin  |        Hertha Berlin  |  2 - 2
14  28. Hafta                Mainz  |            Paderborn  |  0 - 0
15  28. Hafta   Fortuna Düsseldorf  |           Schalke 04  |  2 - 1
16  28. Hafta        Werder Bremen  |             Mainz 05  |  1 - 1
17  28. Hafta            Paderborn  |                 Köln  |  3 - 1


    29. Hafta             Sıralama  |              Fixture ||  Sonuç
0   29. Hafta       Bayern München  |             Freiburg  |  0 - 1
1   29. Hafta    Borussia Dortmund  |             Mainz 05  |  0 - 1
2   29. Hafta           RB Leipzig  |            Wolfsburg  |  1 - 2
3   29. Hafta      Mönchengladbach  |        Hertha Berlin  |  2 - 0
4   29. Hafta     Bayer Leverkusen  |           Schalke 04  |  0 - 1
5   29. Hafta            Wolfsburg  |       Bayern München  |  5 - 0
6   29. Hafta           Hoffenheim  |      Mönchengladbach  |  4 - 1
7   29. Hafta             Freiburg  |            Paderborn  |  1 - 6
8   29. Hafta        Hertha Berlin  |                 Köln  |  2 - 4
9   29. Hafta              Schalke  |     Bayer Leverkusen  |  0 - 1
10  29. Hafta  Eintracht Frankfurt  |           Hoffenheim  |  0 - 1
11  29. Hafta                 Köln  |  Eintracht Frankfurt  |  1 - 2
12  29. Hafta             Augsburg  |             Augsburg  |  2 - 0
13  29. Hafta         Union Berlin  |        Werder Bremen  |  0 - 1
14  29. Hafta                Mainz  |   Fortuna Düsseldorf  |  5 - 0
15  29. Hafta   Fortuna Düsseldorf  |         Union Berlin  |  4 - 1
16  29. Hafta        Werder Bremen  |    Borussia Dortmund  |  1 - 6
17  29. Hafta            Paderborn  |           RB Leipzig  |  2 - 4


    30. Hafta             Sıralama  |              Fixture ||  Sonuç
0   30. Hafta       Bayern München  |             Freiburg  |  1 - 0
1   30. Hafta    Borussia Dortmund  |     Bayer Leverkusen  |  2 - 4
2   30. Hafta           RB Leipzig  |   Fortuna Düsseldorf  |  2 - 2
3   30. Hafta      Mönchengladbach  |           RB Leipzig  |  1 - 1
4   30. Hafta     Bayer Leverkusen  |  Eintracht Frankfurt  |  0 - 2
5   30. Hafta            Wolfsburg  |    Borussia Dortmund  |  1 - 0
6   30. Hafta           Hoffenheim  |        Werder Bremen  |  0 - 1
7   30. Hafta             Freiburg  |         Union Berlin  |  1 - 1
8   30. Hafta        Hertha Berlin  |             Augsburg  |  1 - 1
9   30. Hafta              Schalke  |      Mönchengladbach  |  1 - 0
10  30. Hafta  Eintracht Frankfurt  |       Bayern München  |  2 - 4
11  30. Hafta                 Köln  |           Hoffenheim  |  2 - 2
12  30. Hafta             Augsburg  |            Paderborn  |  1 - 1
13  30. Hafta         Union Berlin  |             Mainz 05  |  0 - 2
14  30. Hafta                Mainz  |        Hertha Berlin  |  1 - 0
15  30. Hafta   Fortuna Düsseldorf  |            Wolfsburg  |  0 - 1
16  30. Hafta        Werder Bremen  |           Schalke 04  |  1 - 1
17  30. Hafta            Paderborn  |                 Köln  |  1 - 1


    31. Hafta             Sıralama  |              Fixture ||  Sonuç
0   31. Hafta       Bayern München  |           Hoffenheim  |  0 - 2
1   31. Hafta    Borussia Dortmund  |            Paderborn  |  1 - 5
2   31. Hafta           RB Leipzig  |            Wolfsburg  |  2 - 2
3   31. Hafta     Bayer Leverkusen  |   Fortuna Düsseldorf  |  0 - 1
4   31. Hafta      Mönchengladbach  |                 Köln  |  1 - 2
5   31. Hafta            Wolfsburg  |        Hertha Berlin  |  1 - 4
6   31. Hafta           Hoffenheim  |       Bayern München  |  2 - 1
7   31. Hafta             Freiburg  |             Mainz 05  |  0 - 1
8   31. Hafta              Schalke  |           Schalke 04  |  1 - 1
9   31. Hafta  Eintracht Frankfurt  |           RB Leipzig  |  0 - 2
10  31. Hafta        Hertha Berlin  |        Werder Bremen  |  1 - 5
11  31. Hafta                 Köln  |             Freiburg  |  2 - 2
12  31. Hafta             Augsburg  |    Borussia Dortmund  |  0 - 1
13  31. Hafta         Union Berlin  |         Union Berlin  |  1 - 2
14  31. Hafta                Mainz  |  Eintracht Frankfurt  |  1 - 4
15  31. Hafta   Fortuna Düsseldorf  |      Mönchengladbach  |  2 - 1
16  31. Hafta        Werder Bremen  |             Augsburg  |  0 - 1
17  31. Hafta            Paderborn  |     Bayer Leverkusen  |  1 - 1


    32. Hafta             Sıralama  |              Fixture ||  Sonuç
0   32. Hafta       Bayern München  |      Mönchengladbach  |  3 - 0
1   32. Hafta    Borussia Dortmund  |             Freiburg  |  2 - 1
2   32. Hafta           RB Leipzig  |         Union Berlin  |  1 - 0
3   32. Hafta     Bayer Leverkusen  |        Werder Bremen  |  0 - 1
4   32. Hafta      Mönchengladbach  |  Eintracht Frankfurt  |  2 - 1
5   32. Hafta            Wolfsburg  |           RB Leipzig  |  2 - 2
6   32. Hafta           Hoffenheim  |     Bayer Leverkusen  |  3 - 1
7   32. Hafta             Freiburg  |             Augsburg  |  1 - 3
8   32. Hafta  Eintracht Frankfurt  |    Borussia Dortmund  |  0 - 2
9   32. Hafta              Schalke  |            Wolfsburg  |  3 - 0
10  32. Hafta        Hertha Berlin  |        Hertha Berlin  |  2 - 1
11  32. Hafta         Union Berlin  |            Paderborn  |  1 - 0
12  32. Hafta                 Köln  |       Bayern München  |  0 - 1
13  32. Hafta             Augsburg  |           Schalke 04  |  2 - 1
14  32. Hafta                Mainz  |   Fortuna Düsseldorf  |  2 - 2
15  32. Hafta   Fortuna Düsseldorf  |                 Köln  |  3 - 1
16  32. Hafta        Werder Bremen  |           Hoffenheim  |  1 - 3
17  32. Hafta            Paderborn  |             Mainz 05  |  0 - 2


    33. Hafta             Sıralama  |              Fixture ||  Sonuç
0   33. Hafta       Bayern München  |                 Köln  |  1 - 1
1   33. Hafta    Borussia Dortmund  |   Fortuna Düsseldorf  |  1 - 1
2   33. Hafta           RB Leipzig  |           Hoffenheim  |  4 - 0
3   33. Hafta      Mönchengladbach  |            Paderborn  |  1 - 3
4   33. Hafta     Bayer Leverkusen  |           RB Leipzig  |  0 - 2
5   33. Hafta            Wolfsburg  |       Bayern München  |  3 - 1
6   33. Hafta           Hoffenheim  |             Mainz 05  |  3 - 1
7   33. Hafta             Freiburg  |        Hertha Berlin  |  2 - 0
8   33. Hafta  Eintracht Frankfurt  |           Schalke 04  |  1 - 4
9   33. Hafta        Hertha Berlin  |  Eintracht Frankfurt  |  1 - 1
10  33. Hafta              Schalke  |             Augsburg  |  1 - 1
11  33. Hafta         Union Berlin  |         Union Berlin  |  4 - 0
12  33. Hafta                Mainz  |      Mönchengladbach  |  1 - 3
13  33. Hafta                 Köln  |    Borussia Dortmund  |  0 - 2
14  33. Hafta             Augsburg  |             Freiburg  |  3 - 1
15  33. Hafta   Fortuna Düsseldorf  |        Werder Bremen  |  3 - 1
16  33. Hafta        Werder Bremen  |     Bayer Leverkusen  |  2 - 0
17  33. Hafta            Paderborn  |            Wolfsburg  |  1 - 4


